Rhea americana,Rheiformes,,Rheidae,ema,Greater Rhea,NT,
Cyanopsitta spixii,Psittaciformes,Trochilinae,Psittacidae,ararinha-azul,Spix's Macaw,CR(PEW),
Ara ararauna,Psittaciformes,Trochilinae,Psittacidae,arara-canindé,Blue-and-yellow Macaw,,
Ara macao,Psittaciformes,Trochilinae,Psittacidae,araracanga,Scarlet Macaw,,
Ara chloropterus,Psittaciformes,Trochilinae,Psittacidae,arara-vermelha,Red-and-green Macaw,,
Ara severus,Psittaciformes,Trochilinae,Psittacidae,maracanã-guaçu,Chestnut-fronted Macaw,,
Orthopsittaca manilatus,Psittaciformes,Trochilinae,Psittacidae,maracanã-do-buriti,Red-bellied Macaw,,
Primolius maracana,Psittaciformes,Trochilinae,Psittacidae,maracanã,Blue-winged Macaw,NT,
Primolius couloni,Psittaciformes,Trochilinae,Psittacidae,maracanã-de-cabeça-azul,Blue-headed Macaw,VU,
Primolius auricollis,Psittaciformes,Trochilinae,Psittacidae,maracanã-de-colar,Yellow-collared Macaw,,
Diopsittaca nobilis,Psittaciformes,Trochilinae,Psittacidae,maracanã-pequena,Red-shouldered Macaw,,
Guaruba guarouba,Psittaciformes,Trochilinae,Psittacidae,ararajuba,Golden Parakeet,VU,
Thectocercus acuticaudatus,Psittaciformes,Trochilinae,Psittacidae,aratinga-de-testa-azul,Blue-crowned Parakeet,,
Psittacara leucophthalmus,Psittaciformes,Trochilinae,Psittacidae,periquitão,White-eyed Parakeet,,
Aratinga nenday,Psittaciformes,Trochilinae,Psittacidae,periquito-de-cabeça-preta,Nanday Parakeet,,
Aratinga auricapillus,Psittaciformes,Trochilinae,Psittacidae,jandaia-de-testa-vermelha,Golden-capped Parakeet,NT,
Aratinga jandaya,Psittaciformes,Trochilinae,Psittacidae,jandaia,Jandaya Parakeet,,
Aratinga solstitialis,Psittaciformes,Trochilinae,Psittacidae,jandaia-amarela,Sun Parakeet,EN,
Aratinga maculata,Psittaciformes,Trochilinae,Psittacidae,cacaué,Sulphur-breasted Parakeet,,
Aratinga weddellii,Psittaciformes,Trochilinae,Psittacidae,periquito-de-cabeça-suja,Dusky-headed Parakeet,,
Eupsittula aurea,Psittaciformes,Trochilinae,Psittacidae,periquito-rei,Peach-fronted Parakeet,,
Eupsittula pertinax,Psittaciformes,Trochilinae,Psittacidae,periquito-de-bochecha-parda,Brown-throated Parakeet,,
Eupsittula cactorum,Psittaciformes,Trochilinae,Psittacidae,periquito-da-caatinga,Cactus Parakeet,,
Pyrrhura cruentata,Psittaciformes,Trochilinae,Psittacidae,tiriba-grande,Ochre-marked Parakeet,VU,
Pyrrhura devillei,Psittaciformes,Trochilinae,Psittacidae,tiriba-fogo,Blaze-winged Parakeet,NT,
Pyrrhura frontalis,Psittaciformes,Trochilinae,Psittacidae,tiriba,Maroon-bellied Parakeet,,
Pyrrhura anerythra,Psittaciformes,Trochilinae,Psittacidae,tiriba-do-xingu,Xingu Parakeet,,
Pyrrhura coerulescens,Psittaciformes,Trochilinae,Psittacidae,tiriba-pérola,Pearly Parakeet,VU,
Pyrrhura perlata,Psittaciformes,Trochilinae,Psittacidae,tiriba-de-barriga-vermelha,Crimson-bellied Parakeet,VU,
Pyrrhura molinae,Psittaciformes,Trochilinae,Psittacidae,tiriba-de-cauda-vermelha,Green-cheeked Parakeet,,
Pyrrhura leucotis,Psittaciformes,Trochilinae,Psittacidae,tiriba-de-orelha-branca,Maroon-faced Parakeet,VU,
Pyrrhura griseipectus,Psittaciformes,Trochilinae,Psittacidae,cara-suja,Gray-breasted Parakeet,EN,
Pyrrhura pfrimeri,Psittaciformes,Trochilinae,Psittacidae,tiriba-de-pfrimer,Pfrimer's Parakeet,EN,
Pyrrhura picta,Psittaciformes,Trochilinae,Psittacidae,tiriba-de-testa-azul,Painted Parakeet,,
Pyrrhura lucianii,Psittaciformes,Trochilinae,Psittacidae,tiriba-de-deville,Bonaparte's Parakeet,,
Pyrrhura roseifrons,Psittaciformes,Trochilinae,Psittacidae,tiriba-de-cabeça-vermelha,Rose-fronted Parakeet,,
Pyrrhura amazonum,Psittaciformes,Trochilinae,Psittacidae,tiriba-de-hellmayr,Santarem Parakeet,EN,
Pyrrhura snethlageae,Psittaciformes,Trochilinae,Psittacidae,tiriba-do-madeira,Madeira Parakeet,VU,
Pyrrhura egregia,Psittaciformes,Trochilinae,Psittacidae,tiriba-de-cauda-roxa,Fiery-shouldered Parakeet,,
Pyrrhura melanura,Psittaciformes,Trochilinae,Psittacidae,tiriba-fura-mata,Maroon-tailed Parakeet,,
Pyrrhura rupicola,Psittaciformes,Trochilinae,Psittacidae,tiriba-rupestre,Black-capped Parakeet,NT,
Myiopsitta monachus,Psittaciformes,Trochilinae,Psittacidae,caturrita,Monk Parakeet,,
Forpus passerinus,Psittaciformes,Trochilinae,Psittacidae,tuim-santo,Green-rumped Parrotlet,,
Forpus xanthopterygius,Psittaciformes,Trochilinae,Psittacidae,tuim,Blue-winged Parrotlet,,
Forpus modestus,Psittaciformes,Trochilinae,Psittacidae,tuim-de-bico-escuro-do-norte,Schomburgk's Parrotlet,,
Forpus sclateri,Psittaciformes,Trochilinae,Psittacidae,tuim-de-bico-escuro,Dusky-billed Parrotlet,,
Brotogeris tirica,Psittaciformes,Trochilinae,Psittacidae,periquito-verde,Plain Parakeet,,
Brotogeris versicolurus,Psittaciformes,Trochilinae,Psittacidae,periquito-da-campina,White-winged Parakeet,,
Brotogeris chiriri,Psittaciformes,Trochilinae,Psittacidae,periquito-de-encontro-amarelo,Yellow-chevroned Parakeet,,
Brotogeris cyanoptera,Psittaciformes,Trochilinae,Psittacidae,periquito-de-asa-azul,Cobalt-winged Parakeet,,
Brotogeris chrysoptera,Psittaciformes,Trochilinae,Psittacidae,periquito-de-asa-dourada,Golden-winged Parakeet,,
Brotogeris sanctithomae,Psittaciformes,Trochilinae,Psittacidae,periquito-testinha,Tui Parakeet,,
Nannopsittaca panychlora,Psittaciformes,Trochilinae,Psittacidae,periquito-dos-tepuis,Tepui Parrotlet,,
Nannopsittaca dachilleae,Psittaciformes,Trochilinae,Psittacidae,periquito-da-amazônia,Amazonian Parrotlet,NT,
Touit huetii,Psittaciformes,Trochilinae,Psittacidae,apuim-de-asa-vermelha,Scarlet-shouldered Parrotlet,VU,
Touit purpuratus,Psittaciformes,Trochilinae,Psittacidae,apuim-de-costas-azuis,Sapphire-rumped Parrotlet,,
Touit melanonotus,Psittaciformes,Trochilinae,Psittacidae,apuim-de-costas-pretas,Brown-backed Parrotlet,VU,
Touit surdus,Psittaciformes,Trochilinae,Psittacidae,apuim-de-cauda-amarela,Golden-tailed Parrotlet,VU,
Pionites melanocephalus,Psittaciformes,Trochilinae,Psittacidae,marianinha-de-cabeça-preta,Black-headed Parrot,,
Pionites leucogaster,Psittaciformes,Trochilinae,Psittacidae,marianinha-de-cabeça-amarela,White-bellied Parrot,EN,
Pyrilia vulturina,Psittaciformes,Trochilinae,Psittacidae,curica-urubu,Vulturine Parrot,VU,
Pyrilia aurantiocephala,Psittaciformes,Trochilinae,Psittacidae,papagaio-de-cabeça-laranja,Bald Parrot,NT,
Pyrilia barrabandi,Psittaciformes,Trochilinae,Psittacidae,curica-de-bochecha-laranja,Orange-cheeked Parrot,NT,
Pyrilia caica,Psittaciformes,Trochilinae,Psittacidae,curica-de-chapéu-preto,Caica Parrot,NT,
Pionopsitta pileata,Psittaciformes,Trochilinae,Psittacidae,cuiú-cuiú,Pileated Parrot,,
Graydidascalus brachyurus,Psittaciformes,Trochilinae,Psittacidae,curica-verde,Short-tailed Parrot,,
Alipiopsitta xanthops,Psittaciformes,Trochilinae,Psittacidae,papagaio-galego,Yellow-faced Parrot,NT,
Pionus menstruus,Psittaciformes,Trochilinae,Psittacidae,maitaca-de-cabeça-azul,Blue-headed Parrot,,
Pionus reichenowi,Psittaciformes,Trochilinae,Psittacidae,maitaca-de-barriga-azul,Reichenow's Parrot,VU,
Pionus maximiliani,Psittaciformes,Trochilinae,Psittacidae,maitaca,Scaly-headed Parrot,,
Pionus fuscus,Psittaciformes,Trochilinae,Psittacidae,maitaca-roxa,Dusky Parrot,,
Amazona festiva,Psittaciformes,Trochilinae,Psittacidae,papagaio-da-várzea,Festive Parrot,NT,
Amazona vinacea,Psittaciformes,Trochilinae,Psittacidae,papagaio-de-peito-roxo,Vinaceous-breasted Parrot,EN,
Amazona pretrei,Psittaciformes,Trochilinae,Psittacidae,papagaio-charão,Red-spectacled Parrot,VU,
Amazona kawalli,Psittaciformes,Trochilinae,Psittacidae,papagaio-dos-garbes,Kawall's Parrot,NT,
Amazona farinosa,Psittaciformes,Trochilinae,Psittacidae,papagaio-moleiro,Mealy Parrot,NT,
Amazona brasiliensis,Psittaciformes,Trochilinae,Psittacidae,papagaio-de-cara-roxa,Red-tailed Parrot,NT,
Amazona amazonica,Psittaciformes,Trochilinae,Psittacidae,curica,Orange-winged Parrot,,
Amazona autumnalis,Psittaciformes,Trochilinae,Psittacidae,papagaio-diadema,Red-lored Parrot,,
Amazona dufresniana,Psittaciformes,Trochilinae,Psittacidae,papagaio-de-bochecha-azul,Blue-cheeked Parrot,NT,
Amazona rhodocorytha,Psittaciformes,Trochilinae,Psittacidae,chauá,Red-browed Parrot,VU,
Amazona ochrocephala,Psittaciformes,Trochilinae,Psittacidae,papagaio-campeiro,Yellow-crowned Parrot,,
Amazona aestiva,Psittaciformes,Trochilinae,Psittacidae,papagaio,Turquoise-fronted Parrot,,
Deroptyus accipitrinus,Psittaciformes,Trochilinae,Psittacidae,anacã,Red-fan Parrot,,
Triclaria malachitacea,Psittaciformes,Trochilinae,Psittacidae,sabiá-cica,Blue-bellied Parrot,NT,
Euchrepomis humeralis,Passeriformes,Euchrepomidinae,Thamnophilidae,zidedê-de-encontro,Chestnut-shouldered Antwren,,
Euchrepomis spodioptila,Passeriformes,Euchrepomidinae,Thamnophilidae,zidedê-de-asa-cinza,Ash-winged Antwren,,
Myrmornis torquata,Passeriformes,Myrmornithinae,Thamnophilidae,pinto-do-mato-carijó,Wing-banded Antbird,,
Pygiptila stellaris,Passeriformes,Myrmornithinae,Thamnophilidae,choca-cantadora,Spot-winged Antshrike,,
Microrhopias quixensis,Passeriformes,Thamnophilinae,Thamnophilidae,papa-formiga-de-bando,Dot-winged Antwren,,
Myrmorchilus strigilatus,Passeriformes,Thamnophilinae,Thamnophilidae,tem-farinha-aí,Stripe-backed Antbird,,
Neoctantes niger,Passeriformes,Thamnophilinae,Thamnophilidae,choca-preta,Black Bushbird,,
Clytoctantes atrogularis,Passeriformes,Thamnophilinae,Thamnophilidae,choca-de-garganta-preta,Rondonia Bushbird,VU,
Epinecrophylla gutturalis,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-de-barriga-parda,Brown-bellied Antwren,NT,
Epinecrophylla leucophthalma,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-de-olho-branco,White-eyed Antwren,,
Epinecrophylla haematonota,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-de-garganta-carijó,Napo Stipple-throated Antwren,,
Epinecrophylla pyrrhonota,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-do-rio-negro,Negro Stipple-throated Antwren,,
Epinecrophylla amazonica,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-do-madeira,Madeira Stipple-throated Antwren,,
Epinecrophylla dentei,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-do-rio-roosevelt,Roosevelt Stipple-throated Antwren,,
Epinecrophylla ornata,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-ornada,Ornate Antwren,,
Epinecrophylla erythrura,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-de-cauda-ruiva,Rufous-tailed Antwren,,
Aprositornis disjuncta,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-de-yapacana,Yapacana Antbird,,
Ammonastes pelzelni,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-de-barriga-cinza,Gray-bellied Antbird,,
Myrmophylax atrothorax,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-de-peito-preto,Black-throated Antbird,,
Myrmochanes hemileucus,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-preto-e-branco,Black-and-white Antbird,,
Terenura sicki,Passeriformes,Thamnophilinae,Thamnophilidae,zidedê-do-nordeste,Orange-bellied Antwren,CR,
Terenura maculata,Passeriformes,Thamnophilinae,Thamnophilidae,zidedê,Streak-capped Antwren,,
Myrmotherula brachyura,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-miúda,Pygmy Antwren,,
Myrmotherula obscura,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-de-bico-curto,Moustached Antwren,,
Myrmotherula ambigua,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-de-coroa-listrada,Yellow-throated Antwren,,
Myrmotherula sclateri,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-de-garganta-amarela,Sclater's Antwren,,
Myrmotherula surinamensis,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-estriada,Guianan Streaked-Antwren,VU,
Myrmotherula multostriata,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-estriada-da-amazônia,Amazonian Streaked-Antwren,,
Myrmotherula cherriei,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-de-peito-riscado,Cherrie's Antwren,,
Myrmotherula klagesi,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-do-tapajós,Klages's Antwren,VU,
Myrmotherula axillaris,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-de-flanco-branco,White-flanked Antwren,,
Myrmotherula sunensis,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-do-oeste,Rio Suno Antwren,,
Myrmotherula minor,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-pequena,Salvadori's Antwren,VU,
Myrmotherula longipennis,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-de-asa-comprida,Long-winged Antwren,,
Myrmotherula urosticta,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-de-rabo-cintado,Band-tailed Antwren,VU,
Myrmotherula iheringi,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-de-ihering,Ihering's Antwren,,
Myrmotherula oreni,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-do-bambu,Bamboo Antwren,,
Myrmotherula heteroptera,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-do-purus,Purus Antwren,,
Myrmotherula fluminensis,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-fluminense,Rio de Janeiro Antwren,,
Myrmotherula unicolor,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-cinzenta,Unicolored Antwren,NT,
Myrmotherula snowi,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-de-alagoas,Alagoas Antwren,CR,
Myrmotherula behni,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-de-asa-lisa,Plain-winged Antwren,,
Myrmotherula menetriesii,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-de-garganta-cinza,Gray Antwren,,
Myrmotherula assimilis,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-da-várzea,Leaden Antwren,,
Formicivora iheringi,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-do-nordeste,Narrow-billed Antwren,NT,
Formicivora erythronotos,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-de-cabeça-negra,Black-hooded Antwren,EN,
Formicivora grisea,Passeriformes,Thamnophilinae,Thamnophilidae,papa-formiga-pardo,White-fringed Antwren,,
Formicivora serrana,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-da-serra,Serra Antwren,,
Formicivora littoralis,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-do-litoral,Restinga Antwren,EN,
Formicivora melanogaster,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-de-barriga-preta,Black-bellied Antwren,,
Formicivora rufa,Passeriformes,Thamnophilinae,Thamnophilidae,papa-formiga-vermelho,Rusty-backed Antwren,,
Formicivora grantsaui,Passeriformes,Thamnophilinae,Thamnophilidae,papa-formiga-do-sincorá,Sincora Antwren,EN,
Formicivora paludicola,Passeriformes,Thamnophilinae,Thamnophilidae,bicudinho-do-brejo-paulista,São Paulo Antwren,CR,
Formicivora acutirostris,Passeriformes,Thamnophilinae,Thamnophilidae,bicudinho-do-brejo,Parana Antwren,EN,
Isleria hauxwelli,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-de-garganta-clara,Plain-throated Antwren,,
Isleria guttata,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-de-barriga-ruiva,Rufous-bellied Antwren,,
Thamnomanes ardesiacus,Passeriformes,Thamnophilinae,Thamnophilidae,uirapuru-de-garganta-preta,Dusky-throated Antshrike,,
Thamnomanes saturninus,Passeriformes,Thamnophilinae,Thamnophilidae,uirapuru-selado,Saturnine Antshrike,,
Thamnomanes caesius,Passeriformes,Thamnophilinae,Thamnophilidae,ipecuá,Cinereous Antshrike,,
Thamnomanes schistogynus,Passeriformes,Thamnophilinae,Thamnophilidae,uirapuru-azul,Bluish-slate Antshrike,,
Dichrozona cincta,Passeriformes,Thamnophilinae,Thamnophilidae,tovaquinha,Banded Antbird,,
Rhopias gularis,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-de-garganta-pintada,Star-throated Antwren,,
Megastictus margaritatus,Passeriformes,Thamnophilinae,Thamnophilidae,choca-pintada,Pearly Antshrike,,
Dysithamnus stictothorax,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-de-peito-pintado,Spot-breasted Antvireo,NT,
Dysithamnus mentalis,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-lisa,Plain Antvireo,,
Dysithamnus xanthopterus,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-de-asa-ferrugem,Rufous-backed Antvireo,,
Dysithamnus plumbeus,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-chumbo,Plumbeous Antvireo,VU,
Herpsilochmus sellowi,Passeriformes,Thamnophilinae,Thamnophilidae,chorozinho-da-caatinga,Caatinga Antwren,,
Herpsilochmus pileatus,Passeriformes,Thamnophilinae,Thamnophilidae,chorozinho-de-boné,Bahia Antwren,VU,
Herpsilochmus atricapillus,Passeriformes,Thamnophilinae,Thamnophilidae,chorozinho-de-chapéu-preto,Black-capped Antwren,,
Herpsilochmus praedictus,Passeriformes,Thamnophilinae,Thamnophilidae,chorozinho-esperado,Predicted Antwren,,
Herpsilochmus stotzi,Passeriformes,Thamnophilinae,Thamnophilidae,chorozinho-do-aripuanã,Aripuana Antwren,,
Herpsilochmus sticturus,Passeriformes,Thamnophilinae,Thamnophilidae,chorozinho-de-cauda-pintada,Spot-tailed Antwren,,
Herpsilochmus stictocephalus,Passeriformes,Thamnophilinae,Thamnophilidae,chorozinho-de-cabeça-pintada,Todd's Antwren,,
Herpsilochmus dorsimaculatus,Passeriformes,Thamnophilinae,Thamnophilidae,chorozinho-de-costas-manchadas,Spot-backed Antwren,,
Herpsilochmus roraimae,Passeriformes,Thamnophilinae,Thamnophilidae,chorozinho-de-roraima,Roraiman Antwren,,
Herpsilochmus pectoralis,Passeriformes,Thamnophilinae,Thamnophilidae,chorozinho-de-papo-preto,Pectoral Antwren,VU,
Herpsilochmus longirostris,Passeriformes,Thamnophilinae,Thamnophilidae,chorozinho-de-bico-comprido,Large-billed Antwren,,
Herpsilochmus rufimarginatus,Passeriformes,Thamnophilinae,Thamnophilidae,chorozinho-de-asa-vermelha,Rufous-winged Antwren,,
Sakesphorus canadensis,Passeriformes,Thamnophilinae,Thamnophilidae,choca-de-crista-preta,Black-crested Antshrike,,
Sakesphorus cristatus,Passeriformes,Thamnophilinae,Thamnophilidae,choca-do-nordeste,Silvery-cheeked Antshrike,,
Sakesphorus luctuosus,Passeriformes,Thamnophilinae,Thamnophilidae,choca-d'água,Glossy Antshrike,,
Thamnophilus doliatus,Passeriformes,Thamnophilinae,Thamnophilidae,choca-barrada,Barred Antshrike,,
Thamnophilus capistratus,Passeriformes,Thamnophilinae,Thamnophilidae,choca-barrada-do-nordeste,Caatinga Antshrike,,
Thamnophilus ruficapillus,Passeriformes,Thamnophilinae,Thamnophilidae,choca-de-chapéu-vermelho,Rufous-capped Antshrike,,
Thamnophilus torquatus,Passeriformes,Thamnophilinae,Thamnophilidae,choca-de-asa-vermelha,Rufous-winged Antshrike,,
Thamnophilus palliatus,Passeriformes,Thamnophilinae,Thamnophilidae,choca-listrada,Chestnut-backed Antshrike,,
Thamnophilus schistaceus,Passeriformes,Thamnophilinae,Thamnophilidae,choca-de-olho-vermelho,Plain-winged Antshrike,,
Thamnophilus murinus,Passeriformes,Thamnophilinae,Thamnophilidae,choca-murina,Mouse-colored Antshrike,,
Thamnophilus cryptoleucus,Passeriformes,Thamnophilinae,Thamnophilidae,choca-selada,Castelnau's Antshrike,NT,
Thamnophilus nigrocinereus,Passeriformes,Thamnophilinae,Thamnophilidae,choca-preta-e-cinza,Blackish-gray Antshrike,NT,
Thamnophilus punctatus,Passeriformes,Thamnophilinae,Thamnophilidae,choca-bate-cabo,Northern Slaty-Antshrike,,
Thamnophilus stictocephalus,Passeriformes,Thamnophilinae,Thamnophilidae,choca-de-natterer,Natterer's Slaty-Antshrike,,
Thamnophilus sticturus,Passeriformes,Thamnophilinae,Thamnophilidae,choca-da-bolívia,Bolivian Slaty-Antshrike,,
Thamnophilus pelzelni,Passeriformes,Thamnophilinae,Thamnophilidae,choca-do-planalto,Planalto Slaty-Antshrike,,
Thamnophilus ambiguus,Passeriformes,Thamnophilinae,Thamnophilidae,choca-de-sooretama,Sooretama Slaty-Antshrike,,
Thamnophilus caerulescens,Passeriformes,Thamnophilinae,Thamnophilidae,choca-da-mata,Variable Antshrike,,
Thamnophilus aethiops,Passeriformes,Thamnophilinae,Thamnophilidae,choca-lisa,White-shouldered Antshrike,,
Thamnophilus melanothorax,Passeriformes,Thamnophilinae,Thamnophilidae,choca-de-cauda-pintada,Band-tailed Antshrike,,
Thamnophilus amazonicus,Passeriformes,Thamnophilinae,Thamnophilidae,choca-canela,Amazonian Antshrike,,
Thamnophilus insignis,Passeriformes,Thamnophilinae,Thamnophilidae,choca-de-roraima,Streak-backed Antshrike,,
Thamnophilus divisorius,Passeriformes,Thamnophilinae,Thamnophilidae,choca-do-acre,Acre Antshrike,,
Cymbilaimus lineatus,Passeriformes,Thamnophilinae,Thamnophilidae,papa-formiga-barrado,Fasciated Antshrike,,
Cymbilaimus sanctaemariae,Passeriformes,Thamnophilinae,Thamnophilidae,choca-do-bambu,Bamboo Antshrike,,
Taraba major,Passeriformes,Thamnophilinae,Thamnophilidae,choró-boi,Great Antshrike,,
Hypoedaleus guttatus,Passeriformes,Thamnophilinae,Thamnophilidae,chocão-carijó,Spot-backed Antshrike,,
Batara cinerea,Passeriformes,Thamnophilinae,Thamnophilidae,matracão,Giant Antshrike,,
Mackenziaena leachii,Passeriformes,Thamnophilinae,Thamnophilidae,borralhara-assobiadora,Large-tailed Antshrike,,
Mackenziaena severa,Passeriformes,Thamnophilinae,Thamnophilidae,borralhara,Tufted Antshrike,,
Frederickena viridis,Passeriformes,Thamnophilinae,Thamnophilidae,borralhara-do-norte,Black-throated Antshrike,,
Frederickena unduliger,Passeriformes,Thamnophilinae,Thamnophilidae,borralhara-ondulada,Undulated Antshrike,,
Biatas nigropectus,Passeriformes,Thamnophilinae,Thamnophilidae,papo-branco,White-bearded Antshrike,VU,
Myrmoderus ferrugineus,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-ferrugem,Ferruginous-backed Antbird,,
Myrmoderus ruficauda,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-de-cauda-ruiva,Scalloped Antbird,EN,
Myrmoderus loricatus,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-assobiador,White-bibbed Antbird,,
Myrmoderus squamosus,Passeriformes,Thamnophilinae,Thamnophilidae,papa-formiga-de-grota,Squamate Antbird,,
Hypocnemoides maculicauda,Passeriformes,Thamnophilinae,Thamnophilidae,solta-asa,Band-tailed Antbird,,
Hypocnemoides melanopogon,Passeriformes,Thamnophilinae,Thamnophilidae,solta-asa-do-norte,Black-chinned Antbird,,
Hylophylax naevius,Passeriformes,Thamnophilinae,Thamnophilidae,guarda-floresta,Spot-backed Antbird,,
Hylophylax punctulatus,Passeriformes,Thamnophilinae,Thamnophilidae,guarda-várzea,Dot-backed Antbird,,
Sclateria naevia,Passeriformes,Thamnophilinae,Thamnophilidae,papa-formiga-do-igarapé,Silvered Antbird,,
Myrmelastes saturatus,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-de-roraima,Roraiman Antbird,,
Myrmelastes schistaceus,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-cinza,Slate-colored Antbird,,
Myrmelastes hyperythrus,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-chumbo,Plumbeous Antbird,,
Myrmelastes rufifacies,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-de-cara-ruiva,Rufous-faced Antbird,,
Myrmelastes leucostigma,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-de-asa-pintada,Spot-winged Antbird,,
Myrmelastes humaythae,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-de-cauda-curta,Humaita Antbird,,
Myrmelastes caurensis,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-do-caura,Caura Antbird,,
Myrmeciza longipes,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-de-barriga-branca,White-bellied Antbird,,
Myrmoborus melanurus,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-de-cauda-preta,Black-tailed Antbird,VU,
Myrmoborus lophotes,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-do-bambu,White-lined Antbird,NT,
Myrmoborus myotherinus,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-de-cara-preta,Black-faced Antbird,,
Myrmoborus leucophrys,Passeriformes,Thamnophilinae,Thamnophilidae,papa-formiga-de-sobrancelha,White-browed Antbird,,
Myrmoborus lugubris,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-liso,Ash-breasted Antbird,VU,
Pyriglena leuconota,Passeriformes,Thamnophilinae,Thamnophilidae,papa-taoca,White-backed Fire-eye,,
Pyriglena pernambucensis,Passeriformes,Thamnophilinae,Thamnophilidae,papa-taoca-de-pernambuco,Pernambuco Fire-eye,,
Pyriglena atra,Passeriformes,Thamnophilinae,Thamnophilidae,papa-taoca-da-bahia,Fringe-backed Fire-eye,EN,
Pyriglena leucoptera,Passeriformes,Thamnophilinae,Thamnophilidae,papa-taoca-do-sul,White-shouldered Fire-eye,,
Rhopornis ardesiacus,Passeriformes,Thamnophilinae,Thamnophilidae,gravatazeiro,Slender Antbird,EN,
Percnostola rufifrons,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-de-cabeça-preta,Black-headed Antbird,,
Percnostola subcristata,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-de-hellmayr,Hellmayr's Antbird,,
Percnostola minor,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-de-pelzeln,Amazonas Antbird,,
Akletos melanoceps,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-grande,White-shouldered Antbird,,
Akletos goeldii,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-de-goeldi,Goeldi's Antbird,,
Hafferia fortis,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-de-taoca,Sooty Antbird,,
Sciaphylax hemimelaena,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-de-cauda-castanha,Chestnut-tailed Antbird,,
