Rhea americana,Rheiformes,,Rheidae,ema,Greater Rhea,NT,
Buteogallus schistaceus,Accipitriformes,Hydrobatinae,Accipitridae,gavião-azul,Slate-colored Hawk,,
Buteogallus aequinoctialis,Accipitriformes,Hydrobatinae,Accipitridae,gavião-caranguejeiro,Rufous Crab Hawk,NT,
Buteogallus anthracinus,Accipitriformes,Hydrobatinae,Accipitridae,gavião-caranguejeiro-negro,Common Black Hawk,,
Heterospizias meridionalis,Accipitriformes,Hydrobatinae,Accipitridae,gavião-caboclo,Savanna Hawk,,
Amadonastur lacernulatus,Accipitriformes,Hydrobatinae,Accipitridae,gavião-pombo-pequeno,White-necked Hawk,VU,
Urubitinga urubitinga,Accipitriformes,Hydrobatinae,Accipitridae,gavião-preto,Great Black Hawk,,
Urubitinga coronata,Accipitriformes,Hydrobatinae,Accipitridae,águia-cinzenta,Crowned Eagle,EN,
Rupornis magnirostris,Accipitriformes,Hydrobatinae,Accipitridae,gavião-carijó,Roadside Hawk,,
Parabuteo unicinctus,Accipitriformes,Hydrobatinae,Accipitridae,gavião-asa-de-telha,Harris's Hawk,,
Parabuteo leucorrhous,Accipitriformes,Hydrobatinae,Accipitridae,gavião-de-sobre-branco,White-rumped Hawk,,
Geranoaetus albicaudatus,Accipitriformes,Hydrobatinae,Accipitridae,gavião-de-rabo-branco,White-tailed Hawk,,
Geranoaetus melanoleucus,Accipitriformes,Hydrobatinae,Accipitridae,águia-serrana,Black-chested Buzzard-Eagle,,
Geranoaetus polyosoma,Accipitriformes,Hydrobatinae,Accipitridae,gavião-de-costas-vermelhas,Variable Hawk,,
Pseudastur albicollis,Accipitriformes,Hydrobatinae,Accipitridae,gavião-branco,White Hawk,,
Pseudastur polionotus,Accipitriformes,Hydrobatinae,Accipitridae,gavião-pombo,Mantled Hawk,NT,
Leucopternis melanops,Accipitriformes,Hydrobatinae,Accipitridae,gavião-de-cara-preta,Black-faced Hawk,,
Leucopternis kuhli,Accipitriformes,Hydrobatinae,Accipitridae,gavião-vaqueiro,White-browed Hawk,,
Buteo nitidus,Accipitriformes,Hydrobatinae,Accipitridae,gavião-pedrês,Gray-lined Hawk,,
