Schiffornis olivacea,Passeriformes,Schiffornithinae,Tityridae,flautim-oliváceo,Olivaceus Schiffornis,,
Schiffornis amazonum,Passeriformes,Schiffornithinae,Tityridae,flautim-da-amazônia,Amazonian Schiffornis,,
Laniocera hypopyrra,Passeriformes,Schiffornithinae,Tityridae,chorona-cinza,Cinereous Mourner,,
Laniisoma elegans,Passeriformes,Schiffornithinae,Tityridae,chibante,Shrike-like Cotinga,NT,
Iodopleura isabellae,Passeriformes,Tityrinae,Tityridae,anambé-de-coroa,White-browed Purpletuft,,
Iodopleura fusca,Passeriformes,Tityrinae,Tityridae,anambé-fusco,Dusky Purpletuft,,
Iodopleura pipra,Passeriformes,Tityrinae,Tityridae,anambezinho,Buff-throated Purpletuft,EN,
Tityra inquisitor,Passeriformes,Tityrinae,Tityridae,anambé-branco-de-bochecha-parda,Black-crowned Tityra,,
Tityra cayana,Passeriformes,Tityrinae,Tityridae,anambé-branco-de-rabo-preto,Black-tailed Tityra,,
Tityra semifasciata,Passeriformes,Tityrinae,Tityridae,anambé-branco-de-máscara-negra,Masked Tityra,,
Pachyramphus viridis,Passeriformes,Tityrinae,Tityridae,caneleiro-verde,Green-backed Becard,,
Pachyramphus xanthogenys,Passeriformes,Tityrinae,Tityridae,caneleiro-de-cara-amarela,Yellow-cheeked Becard,,
Pachyramphus rufus,Passeriformes,Tityrinae,Tityridae,caneleiro-cinzento,Cinereous Becard,,
Pachyramphus castaneus,Passeriformes,Tityrinae,Tityridae,caneleiro,Chestnut-crowned Becard,,
Pachyramphus polychopterus,Passeriformes,Tityrinae,Tityridae,caneleiro-preto,White-winged Becard,,
Pachyramphus marginatus,Passeriformes,Tityrinae,Tityridae,caneleiro-bordado,Black-capped Becard,,
Pachyramphus surinamus,Passeriformes,Tityrinae,Tityridae,caneleiro-da-guiana,Glossy-backed Becard,,
Pachyramphus minor,Passeriformes,Tityrinae,Tityridae,caneleiro-pequeno,Pink-throated Becard,,
Pachyramphus validus,Passeriformes,Tityrinae,Tityridae,caneleiro-de-chapéu-preto,Crested Becard,,
Xenopsaris albinucha,Passeriformes,Tityrinae,Tityridae,tijerila,White-naped Xenopsaris,,
Pipreola whitelyi,Passeriformes,Pipreolinae,Cotingidae,anambé-de-whitely,Red-banded Fruiteater,,
